Sample_ID,Reads_Count,Total_Reads,TPM,RPKM
2021.11.19VAFT12.2e2RThymus,39,143687703,.0513,.0513
2021.12.9VCAG45.1dThymus,47,157075075,.0566,.0566
2022.1.12VCAG9.1g-Thymus,4,151153719,.0050,.0050
2022.11.3VCAG33.1e-Thymus,620,167846367,.6990,.6990
2022.9.15VCAT15.1c-Thymus,33,147541071,.0423,.0423
2023.11.3VATG27.3b-Thymus,327,155883154,.3969,.3969
2023.12.6VCAG58.4d-Thymus,79,176447296,.0847,.0847
2024.1.19VCAG66.1a-Thymus,23,141903950,.0306,.0306
2024.1.6VCAG66.1f-Thymus,25,159452198,.0296,.0296
2024.3.22VCAG65.1a-Thymus,24,144580803,.0314,.0314
2024.3.6VCAG66.1d-Thymus,33,151713006,.0411,.0411
